Location,Type,Energy
1251819 - 1251849,loose,-17.795726475 kcal/mol
1251869 - 1251899,loose,-17.0993857 kcal/mol
1251919 - 1251919,loose,-20.5675173 kcal/mol
1251969 - 1251969,loose,-20.9790196 kcal/mol
1252039 - 1252049,loose,-19.775783599999997 kcal/mol
1252109 - 1252109,tight,-38.7773192 kcal/mol
1252308 - 1252308,loose,-15.3378246 kcal/mol
1252328 - 1252328,loose,-18.8303665 kcal/mol
1252428 - 1252428,loose,-18.4630474 kcal/mol
1252448 - 1252448,loose,-18.4299423 kcal/mol
1252558 - 1252558,loose,-19.7883936 kcal/mol
1252668 - 1252668,loose,-19.8508391 kcal/mol
1252688 - 1252688,loose,-20.7430183 kcal/mol
1252878 - 1252878,loose,-19.8897517 kcal/mol
1253098 - 1253098,tight,-36.5803973 kcal/mol
1253108 - 1253108,loose,-20.2600245 kcal/mol
1253138 - 1253138,tight,-34.009824 kcal/mol
1253218 - 1253218,loose,-20.7426317 kcal/mol
1253258 - 1253368,loose,-14.33329721 kcal/mol
1253438 - 1253438,loose,-20.1430204 kcal/mol
1253538 - 1253538,loose,-18.5157094 kcal/mol
1253778 - 1253778,loose,-20.5583306 kcal/mol
1253938 - 1253938,loose,-20.4320886 kcal/mol
1253968 - 1253968,loose,-18.5409861 kcal/mol
1254078 - 1254078,tight,-34.5972694 kcal/mol
1254198 - 1254198,loose,-20.6057331 kcal/mol
1254228 - 1254238,loose,-19.477359049999997 kcal/mol
1254288 - 1254288,loose,-20.7193866 kcal/mol
1254318 - 1254318,loose,-15.5235197 kcal/mol
1254428 - 1254428,loose,-16.4312779 kcal/mol
1254468 - 1254568,loose,-18.528107963636362 kcal/mol
1254648 - 1254648,loose,-16.7042334 kcal/mol
1254758 - 1254758,loose,-19.17864 kcal/mol
1254868 - 1254868,loose,-18.6871457 kcal/mol
1254908 - 1254918,tight,-34.9285552 kcal/mol
1255520 - 1255580,loose,-18.087529557142854 kcal/mol
1256084 - 1256084,tight,-34.4227626 kcal/mol
1256204 - 1256204,loose,-20.4462758 kcal/mol
1256234 - 1256244,loose,-20.531111099999997 kcal/mol
1256444 - 1256444,loose,-20.2488176 kcal/mol
1256464 - 1256494,loose,-19.249811 kcal/mol
1256594 - 1256594,tight,-34.5111114 kcal/mol
1256614 - 1256614,tight,-34.0531816 kcal/mol
1256754 - 1256754,tight,-35.8322151 kcal/mol
1256774 - 1256774,tight,-34.5027319 kcal/mol
1256854 - 1256864,loose,-20.45061445 kcal/mol
1257292 - 1257292,tight,-34.5404535 kcal/mol
1257442 - 1257442,loose,-20.3891319 kcal/mol
1257632 - 1257632,tight,-34.3717824 kcal/mol
1258054 - 1258054,tight,-34.1682922 kcal/mol
1258074 - 1258104,tight,-35.797600075 kcal/mol
1258164 - 1258174,loose,-20.717454 kcal/mol
1258367 - 1258367,tight,-36.5918161 kcal/mol
1258447 - 1258457,tight,-34.93862015 kcal/mol
1258487 - 1258497,tight,-37.340914 kcal/mol
1258597 - 1258597,tight,-34.7732508 kcal/mol
1258707 - 1258707,tight,-35.494802 kcal/mol
1259037 - 1259037,tight,-34.3028461 kcal/mol
1259087 - 1259097,tight,-34.75975115 kcal/mol
1259487 - 1259487,tight,-35.2671285 kcal/mol
1259517 - 1259527,tight,-34.8237023 kcal/mol
1259617 - 1259617,tight,-38.3322579 kcal/mol
1259727 - 1259727,tight,-38.7286358 kcal/mol
1259837 - 1259837,tight,-35.8241925 kcal/mol
1260551 - 1260551,tight,-34.9127262 kcal/mol
1260571 - 1260571,tight,-34.6917413 kcal/mol
1260681 - 1260681,tight,-37.6746963 kcal/mol
1260701 - 1260701,tight,-34.9417 kcal/mol
1260731 - 1260731,tight,-34.4238367 kcal/mol
1260901 - 1260901,loose,-20.7822854 kcal/mol
1260981 - 1260981,tight,-34.5318691 kcal/mol
1261289 - 1261299,tight,-34.381891499999995 kcal/mol
1261419 - 1261439,tight,-34.95428103333333 kcal/mol
1261469 - 1261469,tight,-36.6223218 kcal/mol
1261549 - 1261549,tight,-34.4399562 kcal/mol
1261579 - 1261589,tight,-41.9207459 kcal/mol
1261609 - 1261669,tight,-38.10611071428571 kcal/mol
1261699 - 1261699,loose,-18.4403389 kcal/mol
1261719 - 1261749,loose,-18.924116275000003 kcal/mol
1261919 - 1261919,tight,-34.1455678 kcal/mol
1262100 - 1262100,loose,-20.382038 kcal/mol
1262220 - 1262220,tight,-35.588933 kcal/mol
1262240 - 1262240,tight,-35.462809 kcal/mol
1262957 - 1262957,tight,-35.5328835 kcal/mol
1262977 - 1262977,tight,-34.0495918 kcal/mol
1263077 - 1263077,tight,-35.348426 kcal/mol
1263337 - 1263337,tight,-36.4227119 kcal/mol
1263427 - 1263427,tight,-34.656797 kcal/mol
1263447 - 1263497,tight,-36.969220299999996 kcal/mol
1263517 - 1263527,tight,-34.44518705 kcal/mol
1263557 - 1263567,tight,-36.9960903 kcal/mol
1263667 - 1263667,tight,-38.1091933 kcal/mol
1263757 - 1263777,tight,-35.7131864 kcal/mol
1263817 - 1263827,tight,-34.64477985 kcal/mol
1263887 - 1263887,tight,-35.7596327 kcal/mol
1263997 - 1263997,tight,-35.0550906 kcal/mol
1264057 - 1264077,tight,-35.07115363333333 kcal/mol
1264405 - 1264425,loose,-19.224258633333335 kcal/mol
1264515 - 1264545,tight,-36.1350073 kcal/mol
1264595 - 1264605,tight,-35.62776915 kcal/mol
1265417 - 1265437,tight,-38.48811836666666 kcal/mol
1265457 - 1265487,tight,-38.4010871 kcal/mol
1265517 - 1265547,tight,-38.003269525 kcal/mol
1265567 - 1265567,tight,-34.2910296 kcal/mol
1265587 - 1265617,tight,-34.772913275 kcal/mol
1265867 - 1265867,tight,-34.8236582 kcal/mol
1265967 - 1265967,tight,-35.3802066 kcal/mol
1266147 - 1266147,loose,-20.3915573 kcal/mol
1266167 - 1266167,loose,-19.3945832 kcal/mol
1266187 - 1266197,tight,-34.1931439 kcal/mol
1266347 - 1266347,tight,-34.1371417 kcal/mol
1266693 - 1266703,loose,-19.9502458 kcal/mol
1267053 - 1267053,loose,-20.522642 kcal/mol
1267518 - 1267518,tight,-36.7383399 kcal/mol
1267848 - 1267848,tight,-37.5337543 kcal/mol
1267938 - 1267948,tight,-35.1862543 kcal/mol
1267968 - 1268038,tight,-35.8641261875 kcal/mol
1268956 - 1268956,tight,-34.3797772 kcal/mol
1270302 - 1270302,loose,-19.7619385 kcal/mol
1270462 - 1270462,loose,-20.8307903 kcal/mol
1270492 - 1270492,loose,-20.9317902 kcal/mol
1270722 - 1270722,tight,-34.3640872 kcal/mol
1271342 - 1271342,loose,-20.0215466 kcal/mol
1271362 - 1271362,loose,-20.3079647 kcal/mol
1271402 - 1271412,loose,-18.97125835 kcal/mol
1271719 - 1271719,tight,-36.1550222 kcal/mol
1271739 - 1271739,tight,-38.4330563 kcal/mol
1271809 - 1271829,tight,-40.05878646666667 kcal/mol
1271849 - 1271899,tight,-41.5085379 kcal/mol
1272059 - 1272059,tight,-34.5371804 kcal/mol
1272119 - 1272119,tight,-34.2639732 kcal/mol
1272169 - 1272169,tight,-35.7238256 kcal/mol
1272279 - 1272279,tight,-38.6424682 kcal/mol
1272299 - 1272319,tight,-35.6286712 kcal/mol
1273017 - 1273017,loose,-19.3468671 kcal/mol
1273127 - 1273127,loose,-18.3048689 kcal/mol
1273287 - 1273287,tight,-34.0712918 kcal/mol
1273337 - 1273337,tight,-34.7529702 kcal/mol
1273437 - 1273437,loose,-18.0104667 kcal/mol
1273547 - 1273547,loose,-18.4296687 kcal/mol
1273767 - 1273767,loose,-20.1237704 kcal/mol
1273877 - 1273877,loose,-18.0805165 kcal/mol
1273897 - 1273897,tight,-34.6557522 kcal/mol
1273967 - 1273967,loose,-20.1150243 kcal/mol
1273987 - 1273987,loose,-19.7737076 kcal/mol
1274097 - 1274097,loose,-20.9362376 kcal/mol
1274127 - 1274127,loose,-21.0753672 kcal/mol
1274147 - 1274187,loose,-18.46827206 kcal/mol
1274402 - 1274402,loose,-20.3674362 kcal/mol
1274532 - 1274532,loose,-20.3902407 kcal/mol
1274642 - 1274642,loose,-20.5302825 kcal/mol
1274752 - 1274752,loose,-20.5576675 kcal/mol
1274792 - 1274792,loose,-19.2810972 kcal/mol
1274812 - 1274812,loose,-20.0852081 kcal/mol
1274832 - 1274832,loose,-20.8015741 kcal/mol
1274852 - 1274872,loose,-20.049115766666663 kcal/mol
1274922 - 1274932,loose,-20.4539812 kcal/mol
1275065 - 1275065,tight,-34.1703802 kcal/mol
1275415 - 1275425,tight,-34.450854199999995 kcal/mol
1275455 - 1275495,tight,-35.835700280000005 kcal/mol
1275535 - 1275535,tight,-34.9225342 kcal/mol
1275745 - 1275745,tight,-35.4806387 kcal/mol
1275765 - 1275765,tight,-34.9918361 kcal/mol
1275785 - 1275795,tight,-37.4666163 kcal/mol
1275855 - 1275855,loose,-17.7625015 kcal/mol
1275935 - 1275935,loose,-19.5964856 kcal/mol
1276065 - 1276075,tight,-34.623942400000004 kcal/mol
1276175 - 1276185,tight,-35.732641400000006 kcal/mol
1276215 - 1276225,tight,-35.7566293 kcal/mol
1276245 - 1276245,tight,-36.0845342 kcal/mol
1276315 - 1276315,tight,-34.8483137 kcal/mol
1276535 - 1276535,tight,-35.1882934 kcal/mol
1276645 - 1276645,tight,-34.7575169 kcal/mol
1277500 - 1277500,tight,-34.1852638 kcal/mol
1277600 - 1277600,loose,-20.1167405 kcal/mol
1278040 - 1278040,tight,-34.1660899 kcal/mol
1278060 - 1278060,tight,-34.794713 kcal/mol
1278180 - 1278180,tight,-34.882955 kcal/mol
1278250 - 1278250,loose,-19.988898 kcal/mol
1278320 - 1278320,tight,-35.167537 kcal/mol
1278360 - 1278360,tight,-34.2484865 kcal/mol
1279577 - 1279577,loose,-19.8865303 kcal/mol
1279857 - 1279877,tight,-38.76797476666667 kcal/mol
1279897 - 1279907,tight,-40.3792177 kcal/mol
1280067 - 1280087,tight,-35.679961999999996 kcal/mol
1280127 - 1280147,tight,-36.87252766666666 kcal/mol
1280377 - 1280377,tight,-34.4324231 kcal/mol
1281627 - 1281627,tight,-34.090082 kcal/mol
1281997 - 1281997,tight,-34.1084979 kcal/mol
1282107 - 1282147,tight,-38.79348606 kcal/mol
1282187 - 1282187,loose,-20.4589527 kcal/mol
1282577 - 1282577,tight,-36.0019467 kcal/mol
1282887 - 1282897,tight,-35.7207059 kcal/mol
1283377 - 1283387,tight,-35.5778964 kcal/mol
1283407 - 1283417,tight,-36.8652187 kcal/mol
1283607 - 1283607,loose,-20.1850546 kcal/mol
1283687 - 1283687,loose,-19.7026812 kcal/mol
1284237 - 1284237,tight,-37.3588522 kcal/mol
1284362 - 1284402,tight,-36.18937165999999 kcal/mol
1284442 - 1284452,tight,-35.796972100000005 kcal/mol
1284472 - 1284512,tight,-35.2953257 kcal/mol
1284642 - 1284672,tight,-36.2152435 kcal/mol
1284712 - 1284712,tight,-44.1089439 kcal/mol
1284882 - 1284882,tight,-34.0438977 kcal/mol
1284932 - 1284932,tight,-35.0713289 kcal/mol
1284952 - 1284972,tight,-35.24793223333334 kcal/mol
1285222 - 1285282,tight,-36.294114314285714 kcal/mol
1285422 - 1285422,tight,-35.7270754 kcal/mol
1285532 - 1285532,tight,-34.3215062 kcal/mol
1287005 - 1287005,loose,-21.0756392 kcal/mol
1287105 - 1287105,tight,-34.2431367 kcal/mol
1287125 - 1287125,tight,-34.6560365 kcal/mol
1287435 - 1287435,loose,-20.8303924 kcal/mol
1287455 - 1287495,loose,-18.951149400000002 kcal/mol
1287565 - 1287565,loose,-20.7149885 kcal/mol
1287605 - 1287605,loose,-18.9935929 kcal/mol
1287625 - 1287625,loose,-20.6148687 kcal/mol
1287645 - 1287645,loose,-20.884116 kcal/mol
1287947 - 1287947,tight,-34.8950052 kcal/mol
1288037 - 1288037,loose,-20.8555316 kcal/mol
1288548 - 1288558,tight,-34.75305485 kcal/mol
1288828 - 1288828,loose,-20.1729094 kcal/mol
1289128 - 1289138,loose,-19.955060099999997 kcal/mol
1289168 - 1289178,loose,-19.25784035 kcal/mol
1289585 - 1289585,tight,-34.6757606 kcal/mol
1289605 - 1289635,tight,-36.946547625 kcal/mol
1290045 - 1290055,loose,-20.3491469 kcal/mol
1290095 - 1290105,loose,-20.3169439 kcal/mol
1290710 - 1290730,loose,-20.3874898 kcal/mol
1290760 - 1290780,loose,-18.213638466666666 kcal/mol
1291030 - 1291030,loose,-20.9982012 kcal/mol
1291110 - 1291110,tight,-34.2544708 kcal/mol
1291140 - 1291140,loose,-21.0710643 kcal/mol
1291370 - 1291380,loose,-19.19420275 kcal/mol
1291732 - 1291732,loose,-16.9867391 kcal/mol
1291752 - 1291752,loose,-18.8417635 kcal/mol
1291862 - 1291862,loose,-19.8417029 kcal/mol
1291942 - 1291942,loose,-19.6164791 kcal/mol
1291962 - 1292022,loose,-19.572752228571428 kcal/mol
1292860 - 1292860,loose,-19.2722141 kcal/mol
1292930 - 1292930,loose,-19.4281028 kcal/mol
1292970 - 1292970,loose,-20.7122349 kcal/mol
1293000 - 1293000,loose,-20.8749347 kcal/mol
1293020 - 1293020,loose,-20.4780387 kcal/mol
1293180 - 1293200,loose,-20.077148466666667 kcal/mol
1293809 - 1293809,loose,-20.7830062 kcal/mol
1293829 - 1293859,loose,-19.421793525 kcal/mol
1293979 - 1293989,tight,-36.06357075 kcal/mol
1294019 - 1294019,tight,-34.9664953 kcal/mol
1294039 - 1294039,tight,-37.8049066 kcal/mol
1294079 - 1294089,loose,-21.0432938 kcal/mol
1294191 - 1294201,tight,-41.128601849999995 kcal/mol
1294360 - 1294380,loose,-20.476813433333334 kcal/mol
1294669 - 1294669,loose,-19.5649277 kcal/mol
1294789 - 1294789,loose,-17.8906711 kcal/mol
1294999 - 1295019,loose,-15.883839933333334 kcal/mol
1295039 - 1295039,loose,-19.2945197 kcal/mol
1295269 - 1295269,loose,-19.8861237 kcal/mol
1295579 - 1295579,loose,-20.2798427 kcal/mol
1295689 - 1295689,loose,-19.8218904 kcal/mol
1295729 - 1295729,tight,-34.7468231 kcal/mol
1295799 - 1295799,loose,-16.77264 kcal/mol
1295889 - 1295889,tight,-36.1393111 kcal/mol
1295899 - 1295899,loose,-19.1231536 kcal/mol
1295919 - 1295919,loose,-17.3128686 kcal/mol
1296029 - 1296029,loose,-19.6645545 kcal/mol
1296439 - 1296479,loose,-16.968650959999998 kcal/mol
1296499 - 1296559,loose,-17.170978014285716 kcal/mol
1297019 - 1297029,tight,-35.17279125 kcal/mol
1297069 - 1297069,tight,-35.3286956 kcal/mol
1297861 - 1297871,loose,-21.0123436 kcal/mol
1298011 - 1298011,loose,-20.1034833 kcal/mol
1298091 - 1298101,tight,-35.52800685 kcal/mol
1298161 - 1298161,loose,-20.6673806 kcal/mol
1298351 - 1298361,loose,-17.958685000000003 kcal/mol
1298626 - 1298686,loose,-15.848667700000002 kcal/mol
1299281 - 1299281,loose,-20.6991714 kcal/mol
1299381 - 1299381,loose,-20.8424426 kcal/mol
1299401 - 1299411,loose,-19.1958946 kcal/mol
1299521 - 1299521,loose,-19.5173173 kcal/mol
1299571 - 1299601,loose,-19.1159495 kcal/mol
1299741 - 1299741,loose,-18.190603 kcal/mol
1299821 - 1299841,loose,-20.2332945 kcal/mol
1300111 - 1300111,loose,-20.4202303 kcal/mol
1300161 - 1300191,loose,-18.363232925 kcal/mol
1300211 - 1300301,loose,-16.319983139999998 kcal/mol
1300321 - 1300321,loose,-19.5073065 kcal/mol
1300381 - 1300381,loose,-20.7790557 kcal/mol
1300431 - 1300451,loose,-17.89832493333333 kcal/mol
1300561 - 1300631,loose,-14.8310543875 kcal/mol
1300651 - 1300651,loose,-18.4244036 kcal/mol
1300671 - 1300681,loose,-19.8400893 kcal/mol
1300923 - 1300933,loose,-20.55246015 kcal/mol
1300953 - 1300953,loose,-18.7588148 kcal/mol
1300983 - 1301043,loose,-19.67751384285714 kcal/mol
1301073 - 1301073,loose,-19.4064333 kcal/mol
1301533 - 1301553,loose,-19.610687733333332 kcal/mol
1301743 - 1301743,loose,-19.4082594 kcal/mol
1301978 - 1302048,tight,-36.630472637500006 kcal/mol
1302158 - 1302178,loose,-20.418425866666666 kcal/mol
1302198 - 1302198,loose,-18.8220963 kcal/mol
1302218 - 1302218,loose,-18.0200511 kcal/mol
1302318 - 1302318,tight,-34.5570406 kcal/mol
1302408 - 1302408,tight,-36.0259096 kcal/mol
1302938 - 1302978,loose,-18.9720798 kcal/mol
1303358 - 1303358,tight,-35.3186652 kcal/mol
1303388 - 1303388,tight,-35.440491 kcal/mol
1303898 - 1303908,tight,-35.769230500000006 kcal/mol
1304508 - 1304518,loose,-18.8312291 kcal/mol
1304845 - 1304845,loose,-20.0689578 kcal/mol
1304865 - 1304865,loose,-19.6823324 kcal/mol
1304935 - 1304935,tight,-37.8976951 kcal/mol
1304975 - 1304975,loose,-20.6791851 kcal/mol
1305489 - 1305489,loose,-20.6767465 kcal/mol
1305509 - 1305559,loose,-19.987278650000004 kcal/mol
1305579 - 1305579,loose,-19.8186888 kcal/mol
1305979 - 1305999,tight,-36.914186 kcal/mol
1306019 - 1306029,tight,-35.601970449999996 kcal/mol
1306359 - 1306359,loose,-19.5346037 kcal/mol
1306379 - 1306439,loose,-19.198877214285716 kcal/mol
1306529 - 1306529,loose,-20.9113937 kcal/mol
1307060 - 1307060,loose,-18.9054092 kcal/mol
1307140 - 1307150,loose,-18.17622445 kcal/mol
1307250 - 1307270,loose,-18.96588716666667 kcal/mol
1307300 - 1307330,loose,-20.09597365 kcal/mol
1307410 - 1307480,loose,-17.191004975 kcal/mol
1307550 - 1307610,loose,-19.401545357142858 kcal/mol
1307630 - 1307640,loose,-17.935319 kcal/mol
1307680 - 1307720,loose,-18.65180712 kcal/mol
1307750 - 1307800,loose,-19.077742516666667 kcal/mol
1307820 - 1307820,loose,-18.7264924 kcal/mol
1307840 - 1307840,loose,-20.1895589 kcal/mol
1308080 - 1308140,loose,-18.209792285714286 kcal/mol
1308593 - 1308593,loose,-18.6819116 kcal/mol
1308613 - 1308613,loose,-17.6038785 kcal/mol
1309248 - 1309298,loose,-18.866629016666668 kcal/mol
1309728 - 1309728,loose,-20.9565907 kcal/mol
1309882 - 1309882,tight,-35.152556 kcal/mol
1309902 - 1309902,tight,-36.9445909 kcal/mol
1309982 - 1309992,loose,-20.07313755 kcal/mol
1310102 - 1310112,tight,-38.34300405 kcal/mol
1310705 - 1310715,loose,-17.2758922 kcal/mol
1310735 - 1310745,loose,-18.580313 kcal/mol
1310765 - 1310765,loose,-19.5628427 kcal/mol
1311244 - 1311254,loose,-20.9673087 kcal/mol
1311414 - 1311414,tight,-36.3847637 kcal/mol
1311504 - 1311504,loose,-19.8792927 kcal/mol
1312104 - 1312104,loose,-20.8536058 kcal/mol
1312394 - 1312394,tight,-36.5372321 kcal/mol
1312742 - 1312752,loose,-18.0983776 kcal/mol
1312772 - 1312802,loose,-18.602293449999998 kcal/mol
1312912 - 1312942,loose,-19.56183195 kcal/mol
1312962 - 1313072,loose,-19.52734415 kcal/mol
1313092 - 1313142,loose,-16.5858763 kcal/mol
1313294 - 1313294,loose,-13.8156378 kcal/mol
1313314 - 1313314,loose,-13.2923502 kcal/mol
1313334 - 1313344,loose,-20.44062465 kcal/mol
1313384 - 1313444,loose,-18.194576685714285 kcal/mol
1313494 - 1313494,loose,-20.4726193 kcal/mol
1313534 - 1313534,loose,-14.5501945 kcal/mol
1313574 - 1313614,loose,-19.90370378 kcal/mol
1313634 - 1313714,loose,-17.63907691111111 kcal/mol
1314530 - 1314530,tight,-35.6466877 kcal/mol
1314870 - 1314870,tight,-34.3950998 kcal/mol
1315356 - 1315356,loose,-19.322713 kcal/mol
1315486 - 1315486,tight,-35.0009233 kcal/mol
1315546 - 1315576,tight,-36.75399075 kcal/mol
1315596 - 1315626,tight,-35.80011665 kcal/mol
1316276 - 1316276,loose,-20.5236296 kcal/mol
1316631 - 1316631,tight,-34.7393498 kcal/mol
1316661 - 1316671,tight,-34.705088599999996 kcal/mol
1316701 - 1316701,tight,-34.096676 kcal/mol
1316741 - 1316741,tight,-35.2431823 kcal/mol
1316911 - 1316911,loose,-17.595652 kcal/mol
1316931 - 1316941,loose,-15.3022062 kcal/mol
1316961 - 1316991,loose,-19.728466475 kcal/mol
1317471 - 1317471,tight,-34.3717654 kcal/mol
1317501 - 1317501,tight,-34.2871609 kcal/mol
1317611 - 1317611,tight,-35.5306426 kcal/mol
1317913 - 1317913,tight,-34.3380917 kcal/mol
1317943 - 1317943,tight,-35.2610809 kcal/mol
1317973 - 1317973,tight,-35.0250127 kcal/mol
1317993 - 1318013,tight,-36.0665416 kcal/mol
1318033 - 1318043,tight,-35.6002768 kcal/mol
1318133 - 1318133,loose,-20.2932489 kcal/mol
1318183 - 1318213,loose,-20.101052574999997 kcal/mol
1318283 - 1318283,tight,-35.0967173 kcal/mol
1318403 - 1318423,tight,-35.76858523333333 kcal/mol
1318453 - 1318453,tight,-40.370238 kcal/mol
1318713 - 1318713,tight,-34.0364267 kcal/mol
1318743 - 1318753,tight,-34.56005055 kcal/mol
1318843 - 1318843,loose,-20.0569511 kcal/mol
1318893 - 1318933,tight,-37.51063328 kcal/mol
1318953 - 1318963,tight,-34.7174204 kcal/mol
1318983 - 1318983,tight,-36.7669684 kcal/mol
1319003 - 1319003,tight,-34.4342538 kcal/mol
1319043 - 1319053,tight,-38.590471550000004 kcal/mol
1319123 - 1319133,tight,-38.3176682 kcal/mol
1319173 - 1319203,tight,-37.231886575 kcal/mol
1319233 - 1319253,tight,-34.862961399999996 kcal/mol
1319538 - 1319538,loose,-20.1893021 kcal/mol
1319648 - 1319648,tight,-37.4291275 kcal/mol
1319668 - 1319668,tight,-33.9875246 kcal/mol
1319708 - 1319758,tight,-38.10331441666667 kcal/mol
1319778 - 1319868,tight,-37.256519680000004 kcal/mol
1320088 - 1320108,loose,-19.708291999999997 kcal/mol
1320128 - 1320128,loose,-18.1433406 kcal/mol
1320388 - 1320388,loose,-19.6908849 kcal/mol
1320658 - 1320658,loose,-20.8210601 kcal/mol
1320718 - 1320728,loose,-19.02194625 kcal/mol
1321285 - 1321285,tight,-35.5873107 kcal/mol
1321305 - 1321315,tight,-35.13154275 kcal/mol
1321455 - 1321465,tight,-35.216200900000004 kcal/mol
1321485 - 1321495,tight,-35.97139095 kcal/mol
1321515 - 1321565,tight,-37.977306383333335 kcal/mol
1321785 - 1321785,tight,-34.7549697 kcal/mol
1321865 - 1321875,tight,-34.9576383 kcal/mol
1321915 - 1321915,tight,-35.7223616 kcal/mol
1321985 - 1321985,tight,-34.1795445 kcal/mol
1322086 - 1322086,loose,-19.4599377 kcal/mol
1322106 - 1322106,loose,-19.5762576 kcal/mol
1322186 - 1322206,loose,-16.9189654 kcal/mol
1322226 - 1322256,loose,-18.328507325 kcal/mol
1322800 - 1322800,tight,-34.3036606 kcal/mol
1322890 - 1322890,tight,-37.1142353 kcal/mol
1323090 - 1323120,loose,-17.286141224999998 kcal/mol
1323140 - 1323220,loose,-17.95039184444444 kcal/mol
1323380 - 1323380,loose,-18.7531139 kcal/mol
1323430 - 1323450,loose,-19.394890266666668 kcal/mol
1323470 - 1323480,loose,-18.1534645 kcal/mol
1323860 - 1323860,loose,-20.2355352 kcal/mol
1323880 - 1323880,loose,-19.4234566 kcal/mol
1323950 - 1324000,loose,-18.712518083333332 kcal/mol
1324020 - 1324020,loose,-20.2546445 kcal/mol
1324060 - 1324060,loose,-20.4862327 kcal/mol
1324140 - 1324140,tight,-43.3410674 kcal/mol
1324150 - 1324240,loose,-16.803867599999997 kcal/mol
1324250 - 1324250,tight,-44.8578347 kcal/mol
1324270 - 1324270,loose,-20.4421198 kcal/mol
1324360 - 1324360,tight,-40.937436 kcal/mol
1324380 - 1324380,loose,-18.7564585 kcal/mol
1324400 - 1324400,loose,-20.8803264 kcal/mol
1324420 - 1324450,loose,-20.100265625 kcal/mol
1324480 - 1324500,loose,-19.05968963333333 kcal/mol
1324916 - 1324916,loose,-21.0302023 kcal/mol
1325106 - 1325106,tight,-34.6254978 kcal/mol
1325316 - 1325326,loose,-19.6112458 kcal/mol
1325496 - 1325516,tight,-38.152303466666666 kcal/mol
1325616 - 1325626,tight,-35.947519549999996 kcal/mol
1325801 - 1325801,loose,-20.8470468 kcal/mol
1326211 - 1326211,tight,-36.6581624 kcal/mol
1326668 - 1326698,loose,-18.81211685 kcal/mol
1326848 - 1326858,tight,-34.9637438 kcal/mol
1326908 - 1326908,loose,-19.8984655 kcal/mol
1326958 - 1326958,loose,-19.0407049 kcal/mol
1327466 - 1327476,loose,-20.7274356 kcal/mol
1327836 - 1327836,tight,-35.5625053 kcal/mol
1328086 - 1328086,loose,-20.8482134 kcal/mol
1328246 - 1328246,tight,-37.5118213 kcal/mol
1328266 - 1328286,tight,-36.425347433333336 kcal/mol
1328501 - 1328501,loose,-20.2956748 kcal/mol
1329082 - 1329082,loose,-19.0149744 kcal/mol
1329102 - 1329102,loose,-20.4523172 kcal/mol
1329292 - 1329292,tight,-35.9848097 kcal/mol
1329312 - 1329312,tight,-34.2290013 kcal/mol
1329352 - 1329352,tight,-35.0558414 kcal/mol
1329452 - 1329472,loose,-18.945101733333335 kcal/mol
1329722 - 1329752,loose,-19.383841675 kcal/mol
1329772 - 1329792,loose,-19.9089621 kcal/mol
1329862 - 1329862,tight,-34.6062444 kcal/mol
1330242 - 1330272,loose,-20.248774725 kcal/mol
1330342 - 1330342,tight,-35.9579309 kcal/mol
1330382 - 1330382,loose,-19.7360163 kcal/mol
1330882 - 1330892,loose,-19.35994305 kcal/mol
1331082 - 1331092,tight,-34.26646665 kcal/mol
1331122 - 1331122,tight,-35.9783061 kcal/mol
1331352 - 1331352,loose,-19.3628242 kcal/mol
1331372 - 1331382,loose,-18.5888335 kcal/mol
1331442 - 1331442,loose,-19.2464303 kcal/mol
1331552 - 1331562,loose,-19.9615191 kcal/mol
1331879 - 1331879,loose,-18.1257333 kcal/mol
1331899 - 1331899,loose,-20.3480518 kcal/mol
1332019 - 1332109,loose,-18.673868810000002 kcal/mol
1332129 - 1332139,loose,-18.7401601 kcal/mol
1332449 - 1332449,loose,-20.8731557 kcal/mol
1332539 - 1332549,tight,-36.2427326 kcal/mol
1332559 - 1332559,loose,-20.8172657 kcal/mol
1332569 - 1332569,tight,-34.230122 kcal/mol
1332609 - 1332649,loose,-18.7777462 kcal/mol
1333345 - 1333355,loose,-19.2468529 kcal/mol
1333975 - 1333975,loose,-20.9387156 kcal/mol
1334005 - 1334005,tight,-36.2019773 kcal/mol
1334205 - 1334205,tight,-35.3146031 kcal/mol
1334225 - 1334235,tight,-35.31243825 kcal/mol
1334505 - 1334525,tight,-34.528283933333334 kcal/mol
1334565 - 1334565,tight,-34.0577351 kcal/mol
1334585 - 1334585,tight,-34.3368035 kcal/mol
1334745 - 1334745,loose,-19.5258566 kcal/mol
1334775 - 1334845,loose,-19.2407639125 kcal/mol
1334915 - 1334935,tight,-36.45273856666667 kcal/mol
1334975 - 1334975,tight,-35.1533205 kcal/mol
1335225 - 1335225,tight,-34.8217136 kcal/mol
1335305 - 1335305,tight,-34.1924194 kcal/mol
1335435 - 1335435,tight,-36.0897251 kcal/mol
1335545 - 1335545,tight,-34.6972029 kcal/mol
1335575 - 1335575,tight,-34.0235848 kcal/mol
1335625 - 1335645,tight,-34.4592345 kcal/mol
1335665 - 1335665,tight,-38.9520541 kcal/mol
1335675 - 1335675,loose,-18.9156496 kcal/mol
1335685 - 1335705,tight,-36.187410533333335 kcal/mol
1335785 - 1335785,loose,-14.7299575 kcal/mol
1335815 - 1335845,tight,-37.865018775 kcal/mol
1335895 - 1335895,loose,-14.7384936 kcal/mol
