# Table: REGULONFUNCPROMOTER_LINK_TMP
# Columns:
# 1) REGULON_FUNCTION_ID
# 2) PROMOTER_ID
ECK12R000074	ECK120009842
ECK12R000953	ECK120030217
ECK12R000955	ECK120030666
ECK12R000957	ECK120030787
ECK12R000959	ECK120030788
ECK12R000961	ECK120030789
ECK12R000962	ECK120030790
ECK12R000964	ECK120030792
ECK12R000966	ECK120030804
ECK12R000968	ECK120032981
ECK12R000970	ECK120032985
ECK12R000972	ECK120032986
ECK12R000974	ECK120033027
ECK12R000976	ECK120033030
ECK12R000978	ECK120033252
ECK12R000980	ECK125136876
ECK12R000980	ECK120034218
ECK12R000980	ECK120033623
ECK12R000982	ECK120033671
ECK12R000984	ECK120033698
ECK12R000986	ECK120033699
ECK12R000988	ECK120033717
ECK12R000990	ECK120034205
ECK12R000992	ECK120034217
ECK12R000994	ECK125257032
ECK12R000994	ECK120034940
ECK12R000994	ECK120034225
ECK12R000996	ECK120034258
ECK12R000998	ECK120034279
ECK12R000998	ECK120034937
ECK12R001000	ECK120034339
ECK12R001002	ECK120034380
ECK12R001004	ECK120034384
ECK12R001006	ECK120034386
ECK12R001008	ECK120034438
ECK12R001009	ECK120034542
ECK12R001010	ECK120034936
ECK12R001012	ECK120034939
ECK12R001014	ECK120034942
ECK12R001016	ECK120034944
ECK12R001017	ECK120034945
ECK12R001019	ECK120035104
ECK12R001021	ECK120035116
ECK12R001023	ECK120035117
ECK12R001023	ECK120035118
ECK12R001025	ECK120035127
ECK12R001027	ECK120035129
ECK12R001029	ECK120035130
ECK12R001031	ECK120049202
ECK12R001033	ECK120049203
ECK12R001035	ECK120049204
ECK12R001036	ECK120049216
ECK12R001038	ECK120049218
ECK12R001040	ECK120049220
ECK12R001042	ECK120051399
ECK12R001044	ECK125095188
ECK12R001046	ECK125095190
ECK12R001046	ECK125095192
ECK12R001048	ECK125095193
ECK12R001050	ECK125095194
ECK12R001052	ECK125095195
ECK12R001054	ECK125095446
ECK12R001055	ECK125095453
ECK12R001056	ECK125108717
ECK12R001058	ECK125109141
ECK12R001058	ECK125109142
ECK12R001060	ECK125109145
ECK12R001062	ECK125109146
ECK12R001064	ECK125109861
ECK12R001066	ECK125109866
ECK12R001068	ECK125122035
ECK12R001068	ECK125122036
ECK12R001070	ECK125122037
ECK12R001072	ECK125134706
ECK12R001074	ECK125134713
ECK12R001076	ECK125134716
ECK12R001077	ECK125135033
ECK12R001079	ECK125135037
ECK12R001081	ECK125135061
ECK12R001083	ECK125136429
ECK12R001084	ECK125136437
ECK12R001084	ECK125136438
ECK12R001086	ECK125136449
ECK12R001087	ECK125136494
ECK12R001089	ECK125136640
ECK12R001091	ECK125136974
ECK12R001092	ECK125136987
ECK12R001092	ECK125158027
ECK12R001094	ECK125137021
ECK12R001096	ECK125138023
ECK12R001098	ECK125138075
ECK12R001100	ECK125140756
ECK12R001102	ECK125140763
ECK12R001104	ECK125140836
ECK12R001106	ECK125141556
ECK12R001108	ECK125145770
ECK12R001110	ECK125145772
ECK12R001112	ECK125162179
ECK12R001114	ECK125162180
ECK12R001116	ECK125162182
ECK12R001118	ECK125162184
ECK12R001120	ECK125165396
ECK12R001120	ECK125165395
ECK12R001120	ECK125165394
ECK12R001120	ECK125165393
ECK12R001120	ECK125165397
ECK12R001120	ECK125165400
ECK12R001120	ECK125165399
ECK12R001120	ECK125165398
ECK12R001122	ECK125165401
ECK12R001123	ECK125199580
ECK12R001125	ECK125203412
ECK12R001125	ECK125203413
ECK12R001127	ECK125203420
ECK12R001127	ECK125203421
ECK12R001127	ECK125203423
ECK12R001127	ECK125203422
ECK12R001128	ECK125230249
ECK12R001130	ECK125230250
ECK12R001132	ECK125240999
